1293307, 445
1296571, 218
1296973, 191
1295279, 311
1293821, 412
1293923, 404
1274297, 1783
1298191, 98
1296817, 200
1295869, 266
1290503, 633
1299631, 6
1299041, 47
1285763, 984
1297211, 170
1295839, 269
1299097, 43
1294021, 394
1299637, 5
1299203, 37
1290257, 650
1277069, 1597
1299269, 31
1297397, 153
1295299, 308
1292957, 469
1283521, 1141
1292657, 488
1283771, 1122
1296293, 238
1294753, 345
1296227, 242
1299541, 10
1297507, 142
1298989, 52
1271161, 2011
1294639, 352
1299223, 34
1298467, 84
1296499, 225
1289009, 734
1297633, 132
1298309, 92
1297411, 150
1296929, 193
1299283, 30
1296089, 251
1299367, 21
1296629, 211
1294609, 356
1299079, 44
1297649, 131
1296277, 241
1297171, 173
1296781, 203
1287289, 871
1298197, 97
1290049, 664
1275203, 1731
1299317, 27
1295563, 287
1285847, 976
1295131, 322
1299359, 22
1297057, 184
1297973, 114
1285231, 1022
1296109, 249
1298489, 83
1290637, 622
1294723, 347
1295869, 266
1297537, 139
1295279, 311
1290049, 664
1284131, 1101
1285411, 1009
1298057, 107
1275893, 1682
1295033, 330
1298789, 66
1296839, 197
1297057, 184
1295347, 302
1290901, 608
1297973, 114
1299637, 5
1296287, 239
1294609, 356
1293857, 408
1286209, 949
1295027, 331
1297157, 175
1292593, 494
1299173, 39
1296209, 243
1286399, 935
1288709, 761
1294939, 338
1298797, 65
